"www.youtube.com","171.71.223.235","16:29:04 08.10.2017","973"
"www.wikipedia.org","20.118.36.236","03:07:21 28.11.2017","483"
"www.wikipedia.org","237.17.1.10","24:07:55 07.12.2017","233"
"www.aliexpress.com","47.131.30.199","04:55:00 24.09.2017","515"
"www.vk.com","139.173.177.169","21:06:20 08.06.2017","681"
"ua.sinoptik.ua","139.173.177.169","21:37:05 25.08.2017","644"
"www.ukr.net","22.214.29.190","12:28:49 28.07.2017","594"
"www.google.com","83.131.165.36","22:24:35 31.12.2017","182"
"www.ukr.net","171.71.223.235","11:11:34 04.04.2017","277"
"www.youtube.com","171.71.223.235","17:04:29 18.03.2017","639"
"www.privatbank.ua","171.71.223.235","08:19:15 26.02.2017","494"
"www.vk.com","83.131.165.36","15:51:02 16.09.2017","629"
"www.rozetka.ua","83.131.165.36","01:01:60 20.06.2017","290"
"ua.sinoptik.ua","171.71.223.235","15:36:38 08.06.2017","244"
"www.rozetka.ua","120.86.157.41","04:18:22 04.11.2017","279"
"www.vk.com","83.131.165.36","20:26:32 22.07.2017","374"
"www.wikipedia.org","47.131.30.199","02:59:20 09.09.2017","954"
"www.ukr.net","84.143.1.17","13:37:17 20.01.2017","557"
"www.instagram.com","83.131.165.36","21:03:21 06.04.2017","883"
"www.instagram.com","203.109.18.227","14:52:36 16.08.2017","229"
"www.olx.ua","237.17.1.10","15:30:11 07.10.2017","321"
"www.olx.ua","120.86.157.41","24:33:18 05.03.2017","965"
"www.ukr.net","237.17.1.10","14:48:09 31.04.2017","982"
"www.vk.com","20.118.36.236","13:22:49 21.06.2017","227"
"www.instagram.com","116.98.162.185","09:11:52 13.12.2017","420"
"www.rozetka.ua","120.86.157.41","16:55:32 28.03.2017","452"
"www.privatbank.ua","49.45.122.245","20:56:45 29.05.2017","576"
"ua.sinoptik.ua","20.118.36.236","14:19:30 31.04.2017","915"
"www.instagram.com","116.98.162.185","19:44:33 05.03.2017","492"
"www.vk.com","84.143.1.17","03:23:36 11.11.2017","744"
"www.facebook.com","139.173.177.169","03:24:56 22.06.2017","784"
"ua.sinoptik.ua","84.143.1.17","13:20:44 25.08.2017","876"
